trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
218,True,"{'a': 0, 'e': 0}",20,9,17.863229782776855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,True,"{'a': 0, 'e': 0}",25,0,36.089913770256715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,True,"{'a': 0, 'e': 0}",20,0,24.49245168758851,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
221,True,"{'a': 0, 'e': 0}",25,6,30.48671059304856,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,True,"{'a': 0, 'e': 0}",20,6,3.097024989936376,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
223,True,"{'a': 0, 'e': 0}",20,9,20.212837445483167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,True,"{'a': 0, 'e': 0}",20,0,30.61543188551888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,True,"{'a': 0, 'e': 0}",20,9,-7.312472390347323,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
226,True,"{'a': 0, 'e': 0}",25,6,28.300898958967117,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,True,"{'a': 0, 'e': 0}",35,0,49.73331944845778,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
228,True,"{'a': 0, 'e': 0}",25,0,-14.7225539455343,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
229,True,"{'a': 0, 'e': 0}",20,0,26.52294244502307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,True,"{'a': 0, 'e': 0}",20,3,23.08402071623923,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,True,"{'a': 0, 'e': 0}",20,2,24.41911548360301,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,True,"{'a': 0, 'e': 0}",25,0,31.866163672653574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,True,"{'a': 0, 'e': 0}",20,0,20.366058523742225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
234,True,"{'a': 0, 'e': 0}",20,4,-12.813203648805304,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
