trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2563,False,"{'a': 0.75, 'e': 0.07697440192173557}",20,9,22.899454750787818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2564,False,"{'a': 0.75, 'e': 0.07689742751981385}",20,12,18.102003053924605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2565,False,"{'a': 0.75, 'e': 0.07682053009229403}",30,0,40.535305881650196,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2566,False,"{'a': 0.75, 'e': 0.07674370956220174}",20,16,9.23773940284363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2567,False,"{'a': 0.75, 'e': 0.07666696585263953}",20,10,-8.836384557507523,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2568,False,"{'a': 0.75, 'e': 0.0765902988867869}",30,7,25.04553608535626,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
2569,False,"{'a': 0.75, 'e': 0.0765137085879001}",20,13,15.94344807403279,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2570,False,"{'a': 0.75, 'e': 0.0764371948793122}",20,7,-0.010577943619239027,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
2571,False,"{'a': 0.75, 'e': 0.07636075768443289}",25,14,23.51774359480379,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2572,False,"{'a': 0.75, 'e': 0.07628439692674846}",20,10,6.013210649728326,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2573,False,"{'a': 0.75, 'e': 0.07620811252982171}",35,8,35.34071057653343,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
2574,False,"{'a': 0.75, 'e': 0.0761319044172919}",20,11,14.18507320399318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2575,False,"{'a': 0.75, 'e': 0.0760557725128746}",30,22,13.140802217785906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
